v1,v2,weight
10569,7663,2
1014,10569,1
1014,7663,2
3810,966,2
3810,528,1
3810,854,2
3810,889,1
3493,3810,2
3493,889,1
1413,3810,1
1413,528,3
1413,854,1
1413,889,2
528,854,6
528,889,2
1201,3810,1
1201,3493,11
1201,966,23
1201,1413,3
1201,528,5
1201,854,8
1201,889,1
854,889,2
889,966,6
10109,3810,1
10109,3493,2
10109,1413,2
10109,528,1
10109,1201,1
10109,854,1
10109,889,1
3812,4423,2
3812,7663,1
3812,3889,1
3812,4084,1
3812,3868,1
3724,3812,1
3724,3725,1
3724,7663,1
3724,3889,1
3724,3743,1
3725,4419,1
3725,3812,1
3725,966,2
3725,4423,2
3725,7663,1
3725,3889,1
3725,4084,1
3725,3868,1
3725,3743,1
3889,4419,2
3889,966,2
3889,4423,2
3889,7663,1
3889,4084,2
179,3812,1
179,3724,1
179,3725,1
179,7663,1
179,3889,2
179,4084,2
179,3868,3
179,3743,2
4084,7663,4
3868,7663,1
3868,3889,2
3743,4419,2
3743,3812,2
3743,966,5
3743,4423,3
3743,7663,1
3743,3889,1
3743,4084,1
3743,3868,2
1413,805,1
1413,3479,2
3479,3493,7
1413,2836,5
1232,2836,3
2836,3493,6
1158,738,1
1158,4419,1
1158,966,2
1158,3819,2
1158,438,2
10569,738,1
10569,4419,2
10569,1158,2
10569,3819,3
10569,438,2
3819,738,1
3819,4419,2
3819,438,3
4034,966,9
3908,4034,1
3908,966,1
170,3855,1
170,345,2
3855,966,12
1232,170,2
1232,3855,4
345,3855,2
4427,554,19
4419,626,5
43053,4419,1
43053,966,2
43053,626,1
43053,438,2
438,626,6
4419,4463,1
4419,4441,1
4427,4463,1
4427,4441,1
4463,805,1
4463,966,1
1138,4463,1
1138,4441,1
4441,805,1
4441,966,1
4441,4463,1
1066,4427,1
1066,1232,2
1066,1138,1
1066,658,1
4427,658,2
1232,658,1
1138,658,2
658,966,2
4258,4419,3
4258,680,1
4258,4427,3
4427,680,2
1232,4258,1
1232,680,2
1232,2640,2
1232,179,1
2640,4258,1
2640,4419,2
2640,966,7
2640,680,1
2640,4427,1
179,4258,1
179,4427,2
179,2640,1
1232,554,14
438,554,18
56,966,1
179,56,1
1462,56,1
1462,179,1
4291,4419,2
3541,4291,3
68,7663,1
68,854,1
68,889,1
4267,68,1
4267,966,3
4267,7663,3
4267,528,3
4267,854,3
4267,889,1
7663,854,6
7663,889,1
1232,68,1
1232,4267,2
1232,528,11
1232,889,2
1232,4155,3
528,68,1
528,7663,9
4155,68,1
4155,966,5
4155,4267,1
4155,7663,2
4155,528,2
4155,854,4
4155,889,1
2967,4419,1
2967,966,1
2967,554,1
2967,4427,1
2967,35962,1
35962,4419,1
35962,966,2
35962,554,1
35962,4427,1
66874,966,5
4419,52,1
4427,52,1
1138,52,1
52,966,1
52,554,1
438,52,1
345,554,5
345,52,1
1254,1413,1
36609,966,3
36609,4427,3
36609,658,1
36609,438,2
1138,36609,3
438,658,1
3855,4427,4
1138,3855,2
1138,1145,11
1145,3855,1
1232,1462,1
10845,1232,5
10845,1462,1
29925,4419,1
29925,966,2
29925,30183,1
29925,554,1
29925,4427,1
30183,4419,4
30183,554,2
30183,4427,2
2784,4419,1
2784,966,2
2784,4427,1
2784,27961,1
1145,2784,1
1145,27961,3
27961,4419,7
36609,554,1
3479,36609,1
3479,554,5
3479,4427,3
3479,438,17
1138,626,3
4258,554,2
4258,43053,1
